DurationTime,ZeroCrossRate,StartTime,EndTime,EntropyTime,LocalMaxMean,PeakToPeak,RmsTime,StartToMax,BandWidth,MaxFreq,MinFreq,PeakFreq,PeaksAbove,Category
150,0.006,0.0007,0.0,0.006,0,0.02,0.0761,0.02,0.0019,11.71,18.55,6.83,13.67,1,E. glaucinus
151,0.004,0.001,0.0,0.004,0,0.0,0.0154,0.0,0.0016,9.76,16.6,6.83,14.64,1,E. glaucinus
152,0.005,0.0008,0.0,0.005,0,0.02,0.07449999999999998,0.01,0.0019,10.74,17.57,6.83,13.67,1,E. glaucinus
153,0.0045,0.0009,0.0,0.0045,0,0.02,0.0941,0.02,0.0019,9.76,17.57,7.81,13.67,1,E. glaucinus
154,0.004,0.001,0.0,0.004,0,0.03,0.099,0.02,0.0016,8.78,16.6,7.81,13.67,1,E. glaucinus
155,0.004,0.001,0.0,0.004,0,0.03,0.1112,0.02,0.0015,6.83,15.62,8.78,13.67,1,E. glaucinus
156,0.0035,0.0011,0.0,0.0035,0,0.02,0.0981,0.02,0.001,7.81,15.62,7.81,12.69,1,E. glaucinus
157,0.003,0.0013,0.0,0.003,0,0.02,0.1036,0.02,0.0013,4.88,14.64,9.76,12.69,1,E. glaucinus
158,0.004,0.001,0.0,0.004,0,0.02,0.086,0.02,0.0012,5.85,14.64,8.78,12.69,1,E. glaucinus
159,0.0035,0.0011,0.0,0.0035,0,0.03,0.1275,0.03,0.0012,5.85,14.64,8.78,12.69,1,E. glaucinus
160,0.0035,0.0011,0.0,0.0035,0,0.02,0.0978,0.02,0.0012,6.83,14.64,7.81,11.71,1,E. glaucinus
161,0.0045,0.0009,0.0,0.0045,0,0.01,0.0313,0.01,0.0016,6.83,14.64,7.81,11.71,1,E. glaucinus
162,0.0035,0.0011,0.0,0.0035,0,0.0,0.013,0.0,0.0013,8.78,15.62,6.83,12.69,1,E. glaucinus
163,0.0045,0.0009,0.0,0.0045,0,0.01,0.0191,0.0,0.0018,10.74,17.57,6.83,11.71,1,E. glaucinus
164,0.004,0.001,0.0,0.004,0,0.0,0.0159,0.0,0.0032,8.78,16.6,7.81,9.76,1,E. glaucinus
165,0.0035,0.0011,0.0,0.0035,0,0.0,0.0149,0.0,0.0015,10.74,17.57,6.83,9.76,1,E. glaucinus
166,0.0035,0.0011,0.0,0.0035,0,0.0,0.0182,0.0,0.0009,10.74,17.57,6.83,9.76,1,E. glaucinus
167,0.003,0.0013,0.0,0.003,0,0.0,0.0131,0.0,0.0017,7.81,14.64,6.83,9.76,1,E. glaucinus
168,0.003,0.0013,0.0,0.003,0,0.0,0.0166,0.0,0.0014,7.81,14.64,6.83,9.76,1,E. glaucinus
169,0.003,0.0013,0.0,0.003,0,0.0,0.0145,0.0,0.0014,6.83,13.67,6.83,9.76,1,E. glaucinus
170,0.003,0.0013,0.0,0.003,0,0.0,0.0166,0.0,0.001,6.83,13.67,6.83,11.71,1,E. glaucinus
171,0.003,0.0013,0.0,0.003,0,0.0,0.0142,0.0,0.0009,8.78,15.62,6.83,11.71,1,E. glaucinus
172,0.0025,0.0016,0.0,0.0025,0,0.0,0.0118,0.0,0.0013,7.81,14.64,6.83,9.76,2,E. glaucinus
173,0.003,0.0013,0.0,0.003,0,0.0,0.0121,0.0,0.0007,7.81,14.64,6.83,12.69,1,E. glaucinus
174,0.0035,0.0011,0.0,0.0035,0,0.01,0.0225,0.0,0.0017,6.83,14.64,7.81,11.71,1,E. glaucinus
175,0.0025,0.0016,0.0,0.0025,0,0.01,0.0206,0.0,0.0013,7.81,15.62,7.81,11.71,1,E. glaucinus
176,0.0035,0.0011,0.0,0.0035,0,0.01,0.0195,0.0,0.0012,8.78,15.62,6.83,11.71,1,E. glaucinus
177,0.003,0.0013,0.0,0.003,0,0.01,0.0211,0.0,0.0013,6.83,14.64,7.81,11.71,1,E. glaucinus
178,0.003,0.0013,0.0,0.003,0,0.01,0.0316,0.01,0.0012,7.81,15.62,7.81,11.71,1,E. glaucinus
179,0.0025,0.0016,0.0,0.0025,0,0.01,0.0292,0.01,0.001,4.88,13.67,8.78,11.71,1,E. glaucinus
180,0.0025,0.0016,0.0,0.0025,0,0.01,0.0258,0.0,0.0011,6.83,14.64,7.81,11.71,1,E. glaucinus
181,0.0025,0.0016,0.0,0.0025,0,0.01,0.024,0.01,0.0008,6.83,14.64,7.81,11.71,1,E. glaucinus
182,0.002,0.002,0.0,0.002,0,0.01,0.0235,0.0,0.0007,6.83,15.62,8.78,11.71,1,E. glaucinus
183,0.0025,0.0016,0.0,0.0025,0,0.01,0.0287,0.01,0.0009,4.88,13.67,8.78,11.71,1,E. glaucinus
184,0.0025,0.0016,0.0,0.0025,0,0.0,0.0135,0.0,0.0012,6.83,14.64,7.81,10.74,1,E. glaucinus
185,0.0025,0.0016,0.0,0.0025,0,0.01,0.0325,0.01,0.0006,7.81,15.62,7.81,11.71,1,E. glaucinus
186,0.0025,0.0016,0.0,0.0025,0,0.01,0.032,0.01,0.0009,7.81,15.62,7.81,11.71,1,E. glaucinus
187,0.0025,0.0016,0.0,0.0025,0,0.01,0.024,0.0,0.0009,7.81,15.62,7.81,10.74,1,E. glaucinus
188,0.0025,0.0016,0.0,0.0025,0,0.01,0.0228,0.01,0.0011,7.81,15.62,7.81,10.74,1,E. glaucinus
189,0.003,0.0013,0.0,0.003,0,0.0,0.0197,0.0,0.0011,7.81,15.62,7.81,11.71,1,E. glaucinus
190,0.0025,0.0016,0.0,0.0025,0,0.01,0.0218,0.0,0.0014,6.83,14.64,7.81,11.71,1,E. glaucinus
191,0.0025,0.0016,0.0,0.0025,0,0.01,0.0165,0.0,0.0006,5.85,14.64,8.78,11.71,1,E. glaucinus
192,0.002,0.002,0.0,0.002,0,0.0,0.0127,0.0,0.0009,5.85,14.64,8.78,10.74,1,E. glaucinus
193,0.0025,0.0016,0.0,0.0025,0,0.0,0.013,0.0,0.0015,6.83,14.64,7.81,10.74,1,E. glaucinus
194,0.0025,0.0016,0.0,0.0025,0,0.0,0.0169,0.0,0.0017,6.83,14.64,7.81,11.71,1,E. glaucinus
195,0.002,0.002,0.0,0.002,0,0.0,0.0136,0.0,0.0012,5.85,13.67,7.81,10.74,1,E. glaucinus
196,0.002,0.002,0.0,0.002,0,0.0,0.0119,0.0,0.0013,6.83,13.67,6.83,11.71,1,E. glaucinus
197,0.0025,0.0016,0.0,0.0025,0,0.0,0.0128,0.0,0.0007,6.83,15.62,8.78,10.74,1,E. glaucinus
198,0.0025,0.0016,0.0,0.0025,0,0.0,0.0162,0.0,0.0016,4.88,13.67,8.78,11.71,1,E. glaucinus
199,0.004,0.001,0.0,0.004,0,0.01,0.024,0.01,0.0022,8.78,15.62,6.83,10.74,1,E. glaucinus
200,0.004,0.001,0.0,0.004,0,0.01,0.029,0.01,0.0021,8.78,15.62,6.83,9.76,1,E. glaucinus
201,0.0035,0.0011,0.0,0.0035,0,0.01,0.0284,0.01,0.0014,7.81,15.62,7.81,12.69,1,E. glaucinus
202,0.0035,0.0011,0.0,0.0035,0,0.01,0.0327,0.01,0.0012,8.78,15.62,6.83,12.69,1,E. glaucinus
203,0.003,0.0013,0.0,0.003,0,0.01,0.0298,0.01,0.001,7.81,15.62,7.81,12.69,1,E. glaucinus
204,0.003,0.0013,0.0,0.003,0,0.01,0.0392,0.01,0.0011,5.85,14.64,8.78,11.71,1,E. glaucinus
205,0.003,0.0013,0.0,0.003,0,0.01,0.04,0.01,0.0011,5.85,14.64,8.78,11.71,1,E. glaucinus
206,0.0035,0.0011,0.0,0.0035,0,0.02,0.0843,0.02,0.0021,6.83,19.53,12.69,15.62,1,E. glaucinus
207,0.003,0.0013,0.0,0.003,0,0.01,0.0425,0.01,0.0011,5.85,14.64,8.78,11.71,1,E. glaucinus
208,0.0025,0.0016,0.0,0.0025,0,0.01,0.0426,0.01,0.0011,4.88,14.64,9.76,11.71,1,E. glaucinus
209,0.0025,0.0016,0.0,0.0025,0,0.01,0.038,0.01,0.001,4.88,13.67,8.78,11.71,1,E. glaucinus
210,0.002,0.002,0.0,0.002,0,0.01,0.0303,0.01,0.0007,4.88,14.64,9.76,11.71,1,E. glaucinus
